"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"001.20924","006755727","Monograph","Language material ; Text","Volume","GB8105824","9789024724147","Spiller, Michael R. G.","","person","","Casaubon, Meric, 1599-1671 [person] ; Spiller, Michael R. G. [person]","Concerning natural experimental philosophie : Meric Casaubon and the Royal Society","Letter of Meric Casaubon to Peter du Moulin concerinig natural experimental philosophie","Archives internationales d'histoire des idées = International archives of the history of ideas","94 [Archives internationales d'histoire des idées = International archives of the history of ideas]","England","Hague ; London","Nijhoff","1980","","232 pages, 1 facsimile, 24 cm","8487.d.2/94","Casaubon, Meric, 1599-1671 ; Apologetics ; Witchcraft ; Scholarship--Casaubon, Meric ; Supernatural","","English","bibliography: p218-227. _ Includes index"
"001.909","012958874","Monograph","Language material ; Text","Volume","GBA454635","9780415288606","Oldridge, Darren","1966-","person","","Oldridge, Darren, 1966- [person]","Strange histories : the trial of the pig, the walking dead, and other matters of fact from the Medieval and Reniassance worlds","","","","England","London","Routledge","2005","","x, 198 pages, 8 pages of plates, illustrations, 24 cm","YC.2006.a.12532 ; m04/.35600","Belief and doubt--History ; Witchcraft--History","","English",""
"001.909","018537497","Monograph","Language material ; Text","Online resource","GBB7J4258","9781351595711","Oldridge, Darren","1966-","person","","Oldridge, Darren, 1966- [person]","Strange histories : the trial of the pig, the walking dead, and other matters of fact from the medieval and Renaissance worlds","'A shipwreck of souls' : understanding witchcraft -- ; Angels on a pinhead -- ; Conclusion : 'the edge of wonder.' ; Introduction : strange worlds -- ; Raptures and forbidden words -- ; Suffering saints -- ; The case for killing heretics -- ; The roaming dead -- ; They hang horses, don't they? -- ; Werewolves and flying witches --","","","","","Routledge","2017","","1 online resource, illustrations","ELD.DS.199635","Hekserij ; Belief and doubt ; Bijgeloof ; Wunderglaube ; Aberglaube ; Witchcraft--History ; Croyance et doute--Histoire ; Het Bovennatuurlijke ; Belief and doubt--History ; Magie ; Mittelalter ; Zauberspruch ; Sorcellerie--Histoire","History","English",""
"001.94","011309601","Monograph","Language material ; Text","Volume","GB8951985","9780140191905","","","","","Cavendish, Richard, 1930- [person]","Encyclopedia of the unexplained : magic, occultism and parapsychology","","","","England","London","Arkana","1989","","304 pages, illustrations, 20 cm","YK.1994.b.4786","Occultism--Dictionaries ; Parapsychology--Dictionaries ; Mysteries ; Magic--Dictionaries","Dictionary","English",""
"005.26","007355068","Monograph","Language material ; Text","Volume","GB9657959","9780201409536","Boone, Barry","","person","","Boone, Barry [person]","Magic cap programmer's cookbook","","","","England","Reading, Massachusetts ; Wokingham","Addison-Wesley Pub","1995","","xvii, 360 pages, illustrations, 23 cm","CDM.1997.a.209","Magic cap ; Computer software--Development ; Microcomputers--Software","","English","A 4.75' computer laser optical disk in pocket attached to back cover ; Includes index"
"005.26","007355297","Monograph","Language material ; Text","Volume","GB9652360","9780201489484","","","","","General Magic, Inc [organisation]","Magic cap complete : the official guide to all the capabilities of your Magic cap communicator","","","","England","Reading, Massachusetts ; Wokingham","Addison-Wesley","1995","","xviii, 584 pages, illustrations, 24 cm","YK.1996.b.14635","Magic cap ; Microcomputers--Software ; Communications software","","English","Includes index"
"006.4","006607527","Monographic component part","Language material ; Text","Volume","","","De Bruine, Annelies","","person","","Hewlett-Packard Laboratories [organisation] ; De Bruine, Annelies [person]","VoiceWeb : multimodal demo test","","HP Laboratories technical report","no HPL-2001-48 [HP Laboratories technical report]","","","Hewlett-Packard Laboratories","2001","","","4335.262050","Pattern perception ; Speech recognition; Synthesis; Internet; Wizard of Oz ; Image processing ; Business--Data processing ; Pattern recognition & image processing ; Applications of computer science & business data processing ; Pattern recognition systems","","",""
"006.4","006607531","Monographic component part","Language material ; Text","Volume","","","Hickey, Marianne","","person","","Brittan, Paul St John [person] ; Hickey, Marianne [person] ; Hewlett-Packard Laboratories [organisation]","Lessons from the development of a conservational interface","","HP Laboratories technical report","no HPL-2001-77 [HP Laboratories technical report]","","","Hewlett-Packard Laboratories","2001","","","4335.262050","Pattern perception ; Pattern recognition & image processing ; Image processing ; Wizard of Oz; Speech recognition; Synthesis; Internet ; Business--Data processing ; Applications of computer science & business data processing ; Pattern recognition systems","","",""
"011.31","016135145","Monograph","Language material ; Text","Volume","GBB274399","","Getatchew Haile","1931-","person","compiler","Delamarter, Steve, compiler [person] ; Six, Veronika, compiler [person] ; Getatchew Haile, 1931-, compiler [person] ; Terefe, Melaku, compiler [person] ; Ethiopic Manuscript Imaging Project [organisation]","Catalogue of the Ethiopic Manuscript Imaging Project","","Ethiopic manuscript, texts and studies series","1, 3, 13 [Ethiopic manuscript, texts and studies series]","United States of America","Cambridge ; Eugene, Oregon","James Clarke ; Pickwick Publications","2009-","","volumes, black and white illustrations, 25 cm","YC.2013.a.6544 ; YC.2013.a.6545","Ethiopian magic scrolls--Catalogs ; Manuscripts, Ethiopic--Catalogs","Catalogue","English ; Geez",""
"015.63","009476696","Monograph","Language material ; Text","Volume","GB9464483","9780952050117","Appleyard, David L.","","person","","Appleyard, David L. [person]","Ethiopian manuscripts","","","","England","London","","1993","","142 pages, illustrations (some colour), 25 cm","011.31 ; LB.31.b.10066 ; ORW.1993.c.52","Ethiopia ; Manuscripts ; Ethiopian magic scrolls--Catalogs ; Illumination of books and manuscripts, Ethiopian--Catalogs ; Manuscripts, Ethiopic--Catalogs","","English","bibliography: p11"
"016.7938","009400759","Monograph","Language material ; Text","Volume","GB8735517","9780313233975","Coleman, Earle J. (Earle Jerome)","","person","","Coleman, Earle J. (Earle Jerome) [person]","Magic : a reference guide","","American popular culture","","England ; United States of America","London ; New York","Greenwood","1987","","xvi, 198 pages, 25 cm","90/20797 ; YC.1987.b.6447","Magic tricks ; Magic tricks--Bibliography ; Conjuring","","English","Includes index"
"016.7938","009465557","Monograph","Language material ; Text","Volume","GB7711028","9780859350389","Gill, Robert","1952-","person","","Gill, Robert, 1952- [person]","Magic as a performing art : a bibliography of conjuring","","Bibliographies / College of librarianship, Wales","","England","London","Bowker","1976","","xxii, 252 pages, 23 cm","83/01695 ; X.629/11104","Conjuring--Bibliographies ; Magic tricks--Bibliography","","English","Includes index"
"016.81352","012660927","Monograph","Language material ; Text","Volume","GB8920325","9780810821927","Cox, J. Randolph","","person","","Cox, J. Randolph [person]","Man of magic and mystery : a guide to the work of Walter B. Gibson","","","","England","London ; Metuchen","Scarecrow","1988","","xxiv, 382 pages, illustrations, 23 cm","2725.e.102","Magic--Bibliography ; Detectives in literature--Bibliography ; Detective and mystery stories, American--Bibliography ; Shadow (Fictitious character)--Bibliography ; Fiction in English--American writers--Gibson, Walter B--Walter Brown--1897-1985--Catalogues ; Gibson, Walter B. (Walter Brown), 1897-1985--Bibliography","","English","Includes index"
"016.82105","009538580","Monograph","Language material ; Text","Volume","","9780824097677","Schuler, Robert M.","","person","","Schuler, Robert M. [person]","English magical and scientific poems to 1700 : an annotated bibliography","","","","United States of America","New York","Garland","1979","","xxviii, 120 pages, 22 cm","4072.280000 ; 821.05 ; X.950/17285","Civilization, Medieval, in literature--Bibliography ; Magic--Poetry--Bibliography ; Didactic poetry, English--Bibliography ; Science--Poetry--Bibliography ; English poetry--Middle English, 1100-1500--Bibliography ; Poetry in English--to 1702--Bibliographies ; English poetry--Old English, ca. 450-1100--Bibliography ; English poetry--Early modern, 1500-1700--Bibliography","","English",""
"027.625","008106675","Monograph","Language material ; Text","Volume","GB9763431","9780838906842","Bauer, Caroline Feller","","person","","Bauer, Caroline Feller [person]","Leading kids to books through magic","","Mighty easy motivators","","England ; United States of America","Chicago ; London","American Library ; Association","1996","","xi, 128 pages, illustrations, 23 cm","YK.1998.a.202","Children's literature--Bibliography ; Magic tricks--United States ; Children's libraries--Activity programs--United States ; Book talks--United States","","English",""
"070.5","008812155","Monograph","Language material ; Text","Volume","GB7704532","9780950336732","Hall, Trevor H. (Trevor Henry)","1910-","person","","Hall, Trevor H. (Trevor Henry), 1910- [person] ; Muir, Percy H. (Percy Horace) [person]","Some printers & publishers of conjuring books and other ephemera, 1800-1850","","","","England","Elmete Ave, Leeds LS8 2JX ; Leeds","Elmete Press","1976","","x, 97 pages, illustrations, facsimiles (some colour), 30 cm","Cup.511.ay.2","Printing--Great Britain--History ; Publishers and publishing--Great Britain--History ; Magic tricks--Bibliography ; England--Conjuring--Documents on conjuring--Printing & publishing--history","","English","Includes index ; illustrations on lining papers. - Limited edition of 465 numbered copies"
